Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI
2021-03-14,10.73%,7.09%,4.95%,7.26%,15.71%,8.91%,18.28%,5.37%,5.17%,6.13%
2021-03-13,-7.67%,-1.02%,-5.74%,-6.71%,-5.29%,-3.31%,4.06%,-6.53%,0.23%,-5.06%
2021-03-12,-0.96%,3.14%,0.21%,0.66%,-2.31%,1.48%,3.42%,-4.06%,-0.38%,-0.15%
2021-03-11,-8.17%,2.05%,-4.74%,-7.77%,-7.63%,-3.77%,-8.57%,-4.29%,-5.80%,-2.64%
2021-03-10,1.84%,4.95%,-0.98%,4.80%,0.62%,2.08%,14.24%,3.62%,-0.99%,-2.10%
2021-03-09,5.46%,2.66%,11.31%,-2.56%,6.60%,6.03%,-4.17%,0.60%,-3.08%,1.79%
2021-03-08,6.84%,4.27%,1.60%,-0.23%,9.58%,4.80%,8.41%,2.25%,20.46%,15.08%
2021-03-07,5.39%,0.03%,0.82%,3.11%,-0.60%,7.57%,-0.36%,2.16%,0.31%,6.28%
2021-03-06,-1.66%,0.82%,0.79%,1.60%,-1.10%,-0.39%,-3.93%,-3.19%,0.21%,-1.18%
2021-03-05,-5.54%,-3.94%,-7.42%,-4.45%,-8.74%,-2.07%,-0.51%,-4.80%,11.31%,-4.07%
2021-03-04,1.31%,4.29%,4.92%,-1.65%,-9.52%,5.38%,-2.64%,0.46%,-0.63%,1.42%
2021-03-03,1.63%,-2.53%,2.81%,1.18%,26.17%,-5.15%,-4.67%,8.70%,-0.56%,-4.39%
2021-03-02,8.76%,9.87%,12.35%,21.92%,13.22%,10.87%,24.61%,10.51%,15.96%,13.08%
2021-03-01,6.32%,-2.10%,-5.76%,1.54%,-10.06%,-2.78%,-8.26%,-0.52%,-5.83%,-2.06%
2021-02-28,3.12%,-0.39%,4.24%,0.38%,2.09%,1.08%,7.42%,4.65%,2.16%,1.12%
2021-02-27,-4.10%,-1.12%,1.84%,0.62%,-3.67%,-1.77%,6.90%,-1.48%,-1.19%,-1.36%
2021-02-26,-8.54%,-5.82%,-12.34%,-10.02%,-7.46%,-9.82%,-2.78%,-5.00%,-7.57%,-6.88%
2021-02-25,1.43%,1.70%,8.28%,14.33%,1.15%,3.33%,0.03%,5.74%,1.59%,1.32%
2021-02-24,-9.83%,-9.63%,-17.40%,-9.36%,-17.34%,-11.35%,-11.44%,-12.44%,-10.29%,-15.00%
2021-02-23,-8.14%,-5.81%,-7.84%,-6.61%,-11.36%,-8.12%,-4.24%,-9.41%,-4.38%,-8.91%
2021-02-22,-1.30%,2.59%,0.58%,-0.11%,0.50%,0.91%,-5.07%,-1.43%,0.83%,1.60%
2021-02-21,5.40%,0.17%,-2.18%,0.60%,10.06%,-2.05%,25.25%,3.64%,43.14%,-5.55%
2021-02-20,-4.57%,8.33%,7.16%,-1.18%,-6.22%,1.21%,-7.52%,-3.33%,-4.99%,1.68%
2021-02-19,-2.52%,-1.05%,0.41%,-3.74%,0.56%,4.45%,-2.59%,-4.58%,-1.86%,0.71%
2021-02-18,4.61%,5.93%,0.82%,3.80%,4.50%,3.92%,-1.67%,0.99%,5.22%,2.31%
2021-02-17,-5.22%,2.67%,-2.04%,-0.95%,-2.17%,0.01%,-4.62%,-2.42%,1.75%,6.34%
2021-02-16,-3.09%,-1.53%,-1.83%,-2.17%,-8.41%,-1.21%,15.05%,-1.91%,-3.55%,-7.25%
2021-02-15,-4.78%,3.22%,-2.97%,-7.82%,-9.47%,-0.68%,-7.09%,-4.86%,-4.30%,-7.93%
2021-02-14,-6.61%,-0.59%,11.61%,-4.95%,-3.11%,-1.50%,-2.75%,-2.52%,-3.98%,0.07%
2021-02-13,2.33%,-1.53%,10.12%,7.19%,-4.56%,3.08%,-1.36%,3.50%,5.68%,7.57%
2021-02-12,-1.41%,7.31%,3.90%,5.76%,15.03%,2.55%,12.83%,4.12%,3.59%,20.68%
2021-02-11,7.23%,-3.55%,-2.92%,-2.92%,-2.99%,-1.59%,4.22%,1.82%,6.02%,2.86%
2021-02-10,-0.37%,0.11%,8.62%,7.40%,3.83%,1.05%,1.30%,15.51%,1.08%,8.39%
2021-02-09,4.04%,19.70%,2.89%,-0.35%,2.77%,8.64%,7.20%,6.28%,3.41%,5.44%
2021-02-08,-0.53%,-1.12%,-0.96%,-1.01%,-4.75%,-3.56%,-7.10%,-4.54%,-2.70%,-1.87%
2021-02-07,-6.20%,2.52%,-6.19%,-13.29%,-4.19%,-2.90%,-7.87%,-10.93%,-9.07%,-3.01%
2021-02-06,8.06%,3.63%,8.56%,16.97%,8.06%,7.92%,-0.04%,20.24%,4.98%,4.37%
2021-02-05,22.21%,-1.83%,-2.26%,16.99%,14.88%,-4.15%,7.71%,14.33%,2.07%,-8.85%
2021-02-04,26.26%,6.09%,6.04%,9.18%,5.35%,10.08%,12.97%,0.88%,3.97%,7.62%
2021-02-03,2.97%,5.82%,3.48%,-1.72%,-1.11%,10.34%,-2.61%,-2.78%,-7.10%,1.78%
2021-02-02,-1.74%,1.35%,1.32%,4.05%,0.17%,4.55%,29.03%,1.71%,15.15%,3.41%
2021-02-01,-4.93%,-3.48%,-4.63%,3.43%,-0.56%,-4.55%,-2.41%,-3.71%,-9.18%,-3.11%
2021-01-31,9.70%,-0.04%,4.00%,14.26%,24.32%,-0.40%,14.94%,5.00%,24.12%,3.83%
2021-01-30,-3.40%,2.70%,-1.35%,13.96%,-0.90%,3.57%,8.67%,0.58%,11.22%,-1.11%
2021-01-29,3.69%,9.91%,9.82%,17.82%,13.46%,6.70%,17.02%,10.40%,-4.13%,9.50%
2021-01-28,3.65%,-6.58%,-9.13%,-7.68%,-15.36%,-8.55%,-13.32%,-8.75%,6.32%,-8.69%
2021-01-27,11.53%,0.87%,-1.04%,12.02%,6.98%,3.77%,6.53%,8.84%,22.76%,3.44%
2021-01-26,-6.03%,-0.07%,-5.90%,-15.20%,-10.94%,-5.54%,-8.16%,-11.69%,-6.05%,-9.02%
2021-01-25,23.94%,0.58%,0.21%,21.15%,5.24%,13.12%,17.79%,19.87%,29.07%,5.47%
2021-01-24,12.09%,-2.81%,14.66%,3.46%,9.07%,-0.30%,4.84%,2.52%,7.04%,-1.01%
2021-01-23,19.13%,7.44%,17.55%,13.46%,17.22%,10.81%,20.37%,16.10%,15.00%,10.43%
2021-01-22,-18.96%,-13.43%,-15.91%,-17.20%,2.88%,-19.02%,-23.16%,-22.03%,-15.58%,-17.96%
2021-01-21,5.61%,-1.33%,6.39%,0.42%,22.35%,0.44%,11.66%,3.57%,4.09%,-1.23%
2021-01-20,-6.75%,-1.73%,-6.73%,-6.20%,-16.85%,8.90%,-12.52%,-2.33%,-6.22%,-9.12%
2021-01-19,7.22%,2.24%,-5.31%,4.39%,-5.14%,2.16%,6.01%,-0.50%,5.82%,9.74%
2021-01-18,3.21%,-0.62%,15.64%,4.49%,52.80%,0.44%,-1.39%,0.37%,3.85%,2.25%
2021-01-17,7.58%,-2.29%,-3.00%,1.85%,-3.87%,4.63%,11.14%,3.72%,13.28%,11.56%
2021-01-16,14.05%,-6.05%,15.52%,-5.16%,44.99%,-4.34%,13.98%,1.95%,6.41%,-7.74%
2021-01-15,0.03%,5.05%,12.46%,1.35%,15.23%,8.27%,9.96%,-5.06%,9.44%,-2.27%
2021-01-14,15.72%,9.75%,14.31%,15.38%,10.50%,7.91%,25.01%,4.59%,13.57%,13.41%
2021-01-13,11.06%,-4.18%,-4.68%,8.73%,-0.06%,-3.83%,7.12%,15.51%,6.39%,-1.54%
2021-01-12,-9.79%,-6.90%,-9.76%,-13.60%,-18.67%,-13.08%,-10.47%,-8.83%,-12.33%,-11.58%
2021-01-11,7.59%,-5.11%,-7.92%,7.87%,-0.36%,-1.96%,-11.16%,6.84%,-4.59%,-5.27%
2021-01-10,6.62%,-1.07%,15.54%,9.19%,10.48%,5.02%,11.75%,11.86%,6.80%,2.73%
2021-01-09,-3.87%,3.10%,-4.64%,-4.35%,-3.54%,-0.47%,8.97%,1.69%,-6.23%,5.74%
2021-01-08,-0.31%,6.91%,-7.53%,-6.08%,-1.59%,1.12%,2.33%,-4.56%,-2.55%,33.08%
2021-01-07,-3.45%,8.47%,18.85%,13.75%,6.30%,9.98%,0.02%,-2.31%,2.46%,4.36%
2021-01-06,4.76%,6.33%,7.07%,7.15%,1.73%,5.83%,8.48%,8.23%,16.21%,1.77%
2021-01-05,22.14%,-3.02%,-0.93%,3.12%,0.60%,6.67%,3.32%,20.61%,-2.32%,-2.83%
2021-01-04,9.01%,2.39%,12.37%,7.38%,9.65%,25.86%,6.61%,16.17%,13.79%,12.13%
2021-01-03,-5.70%,9.58%,2.94%,-6.22%,-1.27%,6.14%,-3.28%,-1.76%,2.33%,-1.82%
2021-01-02,3.01%,1.49%,5.55%,-2.36%,-1.02%,-0.90%,16.05%,15.20%,-7.89%,-3.75%
2021-01-01,8.92%,0.24%,-0.15%,-5.19%,7.74%,-2.05%,10.95%,-1.25%,24.06%,4.33%
2020-12-31,4.01%,5.59%,-4.31%,12.78%,23.05%,2.87%,3.33%,-5.56%,13.31%,-1.69%
2020-12-30,-4.67%,1.21%,-6.55%,-2.98%,-4.68%,0.31%,-3.23%,-2.67%,-1.70%,-2.68%
2020-12-29,6.45%,3.00%,3.78%,9.47%,5.42%,6.63%,-1.63%,-1.11%,3.77%,0.09%
2020-12-28,2.53%,-0.78%,10.55%,1.14%,0.44%,7.44%,10.58%,0.56%,5.26%,0.87%
2020-12-27,-5.81%,7.26%,-5.02%,-5.72%,-3.85%,1.60%,-3.29%,9.40%,-2.40%,-4.41%
2020-12-26,-1.41%,3.91%,-0.09%,0.79%,2.03%,2.28%,-1.33%,-1.58%,-0.63%,-1.76%
2020-12-25,7.01%,2.12%,5.57%,5.51%,13.74%,4.86%,13.29%,4.94%,6.47%,19.40%
2020-12-24,-10.51%,-2.45%,-14.26%,-10.79%,-24.75%,-8.37%,-17.48%,-1.99%,-11.38%,-19.02%
2020-12-23,4.25%,4.86%,3.85%,2.27%,0.35%,4.84%,7.06%,18.07%,6.34%,1.11%
2020-12-22,-5.34%,-3.21%,-5.75%,-7.56%,-9.43%,-4.67%,-8.34%,3.27%,-6.66%,-5.68%
2020-12-21,-4.05%,-1.64%,-3.15%,-1.44%,-7.45%,-3.15%,-6.85%,-3.01%,-5.18%,-5.68%
2020-12-20,-1.81%,3.07%,-0.28%,-2.90%,3.05%,0.50%,3.40%,0.19%,5.10%,-1.01%
2020-12-19,6.67%,1.53%,0.47%,-9.46%,-1.44%,1.93%,5.39%,15.48%,2.14%,4.93%
2020-12-18,-2.80%,6.74%,-0.31%,14.01%,0.56%,0.80%,-9.92%,0.24%,4.33%,-1.42%
2020-12-17,0.42%,9.98%,6.44%,3.53%,3.55%,8.31%,6.85%,-3.06%,6.35%,8.95%
2020-12-16,-0.04%,0.83%,-1.12%,-1.87%,-1.35%,0.48%,8.96%,3.99%,-4.35%,-4.02%
2020-12-15,4.14%,0.55%,-0.81%,3.99%,3.42%,-0.71%,7.20%,10.84%,4.32%,-1.93%
2020-12-14,7.75%,1.98%,5.96%,1.85%,4.33%,3.98%,11.19%,5.60%,6.94%,3.71%
2020-12-13,3.98%,4.10%,4.77%,1.47%,6.12%,4.21%,11.17%,2.66%,5.28%,8.57%
2020-12-12,-2.38%,-1.11%,-2.30%,-4.40%,-7.22%,-2.50%,-10.47%,-5.86%,-8.43%,-2.41%
2020-12-11,-7.11%,-1.57%,-5.56%,-9.43%,-5.11%,-2.54%,-2.68%,-4.18%,-3.54%,-6.44%
2020-12-10,2.95%,1.30%,4.09%,5.99%,4.11%,3.41%,4.58%,3.82%,1.94%,0.56%
2020-12-09,-11.87%,-4.53%,-7.20%,3.51%,-14.19%,-6.22%,-12.04%,-10.05%,-12.31%,-10.67%
2020-12-08,3.18%,-1.11%,-3.29%,9.36%,0.61%,-1.92%,10.04%,0.28%,2.78%,-1.18%
2020-12-07,-5.06%,1.23%,2.61%,-4.48%,-4.90%,0.96%,-5.43%,-0.84%,-0.84%,-1.76%
2020-12-06,14.20%,2.65%,3.98%,12.83%,8.28%,5.18%,20.80%,4.79%,4.72%,10.81%
2020-12-05,-11.57%,-3.98%,-9.40%,-3.46%,-17.57%,-7.87%,-10.00%,-5.05%,-9.44%,-10.66%
2020-12-04,6.64%,1.13%,-0.09%,14.73%,4.61%,3.03%,0.87%,-0.19%,-1.60%,-2.16%
2020-12-03,15.71%,2.31%,4.84%,9.32%,16.58%,2.09%,9.66%,10.59%,11.17%,17.79%
2020-12-02,-2.17%,-4.55%,-6.37%,-6.37%,0.58%,-4.87%,22.83%,0.08%,-5.73%,-2.65%
2020-12-01,10.08%,8.14%,6.42%,1.47%,2.73%,6.81%,9.45%,3.78%,5.82%,7.32%
2020-11-30,7.87%,2.68%,2.40%,2.24%,8.01%,7.25%,5.15%,7.12%,2.86%,5.33%
2020-11-29,5.27%,3.44%,4.65%,3.44%,-4.91%,3.70%,-6.01%,3.53%,4.53%,-0.46%
2020-11-28,-5.33%,-0.17%,-0.65%,-2.18%,7.95%,-0.19%,0.56%,-4.80%,-3.61%,0.50%
2020-11-27,4.05%,-8.34%,-11.66%,-12.99%,-7.73%,-8.88%,17.22%,-10.11%,-6.48%,4.55%
2020-11-26,-7.65%,-2.34%,-8.95%,-3.90%,-6.52%,-5.78%,-8.38%,-8.30%,-10.02%,-9.59%
2020-11-25,-7.54%,4.28%,2.36%,1.72%,-7.74%,-0.69%,-12.12%,-2.62%,-2.52%,-2.09%
2020-11-24,5.26%,-0.19%,5.41%,7.41%,-0.55%,8.72%,-4.49%,8.56%,13.56%,3.16%
2020-11-23,-2.52%,-1.42%,-6.07%,-8.08%,-12.89%,1.48%,-3.36%,-4.66%,-4.10%,0.04%
2020-11-22,-6.09%,-0.03%,9.56%,9.46%,-0.32%,8.17%,4.72%,2.02%,-0.49%,-7.81%
2020-11-21,-1.54%,4.89%,3.45%,2.52%,6.99%,8.30%,0.59%,3.67%,3.09%,-4.57%
2020-11-20,0.98%,0.15%,0.35%,-0.75%,6.16%,-1.59%,37.24%,0.68%,8.22%,9.21%
2020-11-19,-4.75%,0.65%,1.29%,-6.89%,-13.00%,-0.72%,-14.42%,-3.87%,-9.31%,6.33%
2020-11-18,8.47%,5.76%,6.09%,1.99%,6.23%,4.70%,0.46%,16.21%,7.07%,28.77%
2020-11-17,13.75%,4.67%,4.26%,0.07%,6.68%,2.79%,5.98%,6.89%,-7.23%,5.82%
2020-11-16,-4.08%,-0.64%,-3.43%,-1.07%,9.35%,-2.77%,19.61%,-3.69%,0.78%,2.15%
2020-11-15,5.36%,-1.56%,-2.56%,3.77%,2.05%,-3.27%,9.46%,2.19%,-1.24%,-3.88%
2020-11-14,22.97%,0.12%,3.71%,12.32%,21.16%,2.99%,38.62%,10.54%,30.38%,16.02%
2020-11-13,-5.36%,3.85%,-2.81%,1.05%,2.15%,-0.21%,1.33%,-4.95%,0.94%,-7.62%
2020-11-12,-18.70%,2.58%,-1.88%,0.54%,-2.58%,2.84%,1.33%,-14.53%,-4.65%,-8.63%
2020-11-11,21.92%,-0.11%,4.11%,8.30%,24.20%,1.52%,11.86%,11.34%,15.07%,22.03%
2020-11-10,1.96%,-1.04%,-1.63%,-2.46%,-3.92%,-2.31%,-5.98%,-5.73%,-6.70%,-1.07%
2020-11-09,18.48%,4.41%,7.92%,2.88%,6.65%,4.43%,4.24%,14.38%,15.69%,6.38%
2020-11-08,18.19%,-4.88%,-3.32%,-1.34%,3.08%,-4.54%,-0.35%,9.73%,-3.71%,20.14%
2020-11-07,19.68%,-0.09%,10.80%,5.22%,20.01%,9.39%,19.41%,11.92%,17.34%,39.69%
2020-11-06,16.18%,10.38%,4.80%,2.54%,5.66%,3.64%,5.35%,15.80%,13.62%,-0.53%
2020-11-05,-0.95%,0.89%,0.94%,1.31%,-3.58%,3.72%,-6.61%,5.27%,-9.69%,-9.08%
2020-11-04,-5.62%,3.34%,-3.59%,-3.93%,-1.07%,1.15%,-9.54%,-1.40%,-5.22%,-7.32%
2020-11-03,-3.39%,-1.49%,-6.96%,-3.03%,-10.62%,-3.34%,-4.44%,-10.05%,-5.23%,-5.41%
2020-11-02,3.51%,-0.21%,3.15%,3.61%,-3.05%,2.70%,0.35%,-3.72%,5.10%,1.94%
2020-11-01,-5.15%,1.76%,1.29%,-1.58%,5.26%,0.94%,1.01%,-2.88%,-6.21%,-4.88%
2020-10-31,7.45%,0.77%,-1.67%,-4.81%,-11.52%,-1.14%,-6.89%,-2.77%,-4.83%,2.14%
2020-10-30,-10.22%,1.30%,-1.50%,-9.99%,-9.79%,-0.38%,0.83%,-10.98%,-4.79%,-13.94%
2020-10-29,-7.12%,-2.64%,-4.03%,-1.12%,-22.21%,-3.67%,-9.08%,1.35%,-5.16%,-6.31%
2020-10-28,-2.88%,4.38%,1.78%,8.65%,55.15%,2.60%,12.34%,-0.37%,3.46%,-1.69%
2020-10-27,-4.73%,0.28%,-3.56%,-0.94%,21.51%,-3.13%,0.31%,-2.96%,-2.18%,-4.70%
2020-10-26,-4.70%,-0.69%,-4.35%,-3.92%,-9.42%,-1.58%,-5.09%,-2.82%,-5.73%,-3.96%
2020-10-25,-5.09%,1.40%,4.44%,2.10%,-1.47%,0.66%,-1.19%,-0.53%,-2.30%,-0.15%
2020-10-24,12.33%,-0.31%,1.60%,0.68%,-7.33%,-1.09%,-0.41%,-2.54%,-0.85%,8.48%
2020-10-23,5.55%,1.22%,10.59%,7.25%,6.58%,5.77%,0.22%,10.37%,3.25%,3.19%
2020-10-22,,,,,,,,,,
