Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI
2021-09-01,9.47%,-0.05%,6.74%,5.06%,6.58%,4.45%,2.91%,2.48%,9.41%,3.77%
2021-08-31,-1.80%,-3.70%,-2.96%,0.30%,-0.51%,1.45%,0.80%,-4.64%,0.14%,-1.54%
2021-08-30,-0.74%,-0.14%,0.27%,1.18%,0.61%,-0.57%,-1.34%,-2.82%,-0.12%,-1.53%
2021-08-29,-1.54%,-0.35%,-1.15%,-1.79%,-3.98%,-0.84%,-3.65%,-1.99%,-2.03%,0.75%
2021-08-28,6.23%,4.63%,6.69%,3.95%,6.25%,4.63%,5.17%,7.05%,7.31%,4.56%
2021-08-27,-8.67%,-4.23%,-8.06%,-6.94%,-6.64%,-3.11%,-5.17%,-7.89%,-5.68%,-5.59%
2021-08-26,1.59%,2.61%,3.03%,2.94%,4.71%,1.75%,-0.62%,1.48%,1.52%,3.21%
2021-08-25,-7.62%,-3.62%,-10.05%,-9.06%,-11.22%,-4.88%,-10.59%,-8.07%,-7.42%,-7.20%
2021-08-24,2.02%,0.42%,2.20%,1.06%,-3.44%,2.88%,0.17%,-1.83%,1.31%,1.19%
2021-08-23,0.30%,0.87%,0.51%,-0.51%,10.11%,0.08%,0.57%,3.49%,0.61%,1.35%
2021-08-22,-2.25%,-0.89%,-2.86%,-3.63%,-2.11%,-1.44%,-6.69%,4.00%,-2.12%,-2.04%
2021-08-21,1.00%,5.52%,5.92%,5.29%,5.56%,3.20%,4.75%,1.56%,3.20%,1.73%
2021-08-20,6.52%,4.34%,6.43%,4.56%,12.29%,5.18%,11.29%,9.27%,6.10%,5.19%
2021-08-19,-3.78%,0.28%,-2.63%,-2.54%,-0.30%,0.54%,-0.04%,0.95%,-0.18%,-1.78%
2021-08-18,-4.50%,-3.09%,-6.62%,-4.85%,-9.61%,-5.35%,-0.15%,-7.59%,-10.03%,-3.75%
2021-08-17,0.84%,-2.04%,0.32%,-3.89%,-4.24%,-3.90%,-0.15%,-5.56%,-3.01%,-1.31%
2021-08-16,-0.95%,-0.10%,2.81%,2.54%,-1.87%,1.40%,3.59%,-0.88%,0.51%,0.81%
2021-08-15,-3.11%,-1.51%,-2.20%,-1.44%,-4.27%,-1.78%,-3.06%,7.33%,-1.49%,-1.64%
2021-08-14,9.10%,8.03%,11.55%,6.77%,16.28%,9.50%,3.79%,16.44%,9.55%,8.83%
2021-08-13,-2.67%,-3.55%,-4.02%,-3.22%,-0.32%,-4.94%,7.75%,-2.66%,-3.73%,-2.68%
2021-08-12,4.99%,0.61%,5.57%,-0.83%,-1.48%,1.58%,8.59%,4.03%,0.68%,8.77%
2021-08-11,2.49%,-1.67%,1.35%,1.01%,10.33%,-0.65%,5.36%,0.99%,1.50%,2.77%
2021-08-10,3.70%,4.95%,5.11%,0.15%,6.72%,4.92%,4.58%,4.90%,6.15%,3.65%
2021-08-09,-6.31%,-0.77%,-6.61%,-7.95%,-8.24%,-4.54%,-9.10%,-8.10%,-5.49%,-5.44%
2021-08-08,4.22%,3.94%,3.30%,8.77%,-0.51%,9.22%,5.20%,3.44%,7.92%,4.33%
2021-08-07,-0.91%,4.84%,-0.70%,-1.84%,8.72%,2.27%,2.02%,-3.68%,2.96%,0.82%
2021-08-06,10.10%,2.85%,-0.47%,2.29%,9.01%,3.71%,10.10%,9.60%,8.16%,-0.17%
2021-08-05,9.94%,4.23%,1.22%,17.29%,3.56%,8.29%,8.51%,6.73%,9.90%,3.73%
2021-08-04,-3.77%,-2.60%,1.75%,-2.83%,-3.35%,-3.47%,-3.68%,-4.72%,-4.39%,-0.64%
2021-08-03,1.16%,-2.07%,6.28%,-0.57%,-2.22%,1.82%,-1.50%,0.14%,1.70%,-0.18%
2021-08-02,-4.31%,-3.81%,-2.88%,0.94%,-3.11%,1.08%,-4.27%,-6.64%,1.02%,-3.20%
2021-08-01,3.10%,-1.66%,1.96%,0.34%,0.82%,2.72%,4.64%,5.42%,3.94%,5.63%
2021-07-31,3.05%,5.62%,15.25%,2.16%,4.73%,3.65%,3.86%,-3.24%,7.22%,1.73%
2021-07-30,4.66%,0.03%,1.52%,2.32%,5.56%,3.52%,0.58%,9.36%,2.90%,3.31%
2021-07-29,-0.79%,1.36%,-2.27%,-1.40%,-1.72%,-0.02%,-0.65%,-2.77%,0.56%,0.79%
2021-07-28,-1.72%,5.73%,6.67%,0.01%,2.00%,3.13%,-1.38%,0.01%,1.90%,-1.43%
2021-07-27,5.97%,5.53%,9.09%,0.34%,0.53%,1.78%,-0.61%,11.38%,1.39%,0.19%
2021-07-26,0.01%,3.12%,0.42%,-4.41%,-1.48%,0.19%,3.59%,-2.46%,0.16%,1.53%
2021-07-25,-0.62%,2.12%,1.11%,-1.97%,-3.65%,2.93%,-6.45%,-1.65%,-1.97%,0.36%
2021-07-24,5.35%,4.35%,3.96%,1.23%,5.84%,5.44%,11.17%,3.46%,7.52%,4.01%
2021-07-23,6.34%,0.27%,3.97%,9.70%,5.13%,1.90%,9.33%,0.03%,3.64%,0.10%
2021-07-22,15.86%,7.75%,10.63%,7.53%,12.09%,10.65%,12.45%,12.11%,14.73%,9.61%
2021-07-21,-6.25%,-3.48%,-4.77%,3.12%,-4.12%,-1.66%,-5.25%,-7.41%,-7.31%,-3.96%
2021-07-20,-6.30%,-2.89%,-6.39%,-10.67%,-4.96%,-3.98%,-6.30%,-8.19%,-3.69%,-4.04%
2021-07-19,0.44%,0.81%,0.87%,0.24%,-0.79%,-0.29%,-5.26%,0.48%,1.23%,1.14%
2021-07-18,-0.20%,0.38%,0.72%,2.88%,0.36%,1.14%,17.62%,-0.73%,-1.52%,0.03%
2021-07-17,-6.79%,-1.09%,-3.08%,-7.63%,-6.11%,-1.97%,-5.15%,-6.92%,-4.06%,-8.03%
2021-07-16,-2.59%,-3.35%,-7.12%,-2.80%,-5.37%,-3.94%,-5.76%,-8.48%,-4.53%,-4.86%
2021-07-15,3.00%,0.37%,0.42%,5.87%,-0.22%,2.87%,-0.29%,-4.82%,-3.17%,-2.22%
2021-07-14,-8.64%,-1.24%,-3.80%,-6.16%,-4.66%,-4.73%,-6.55%,-9.23%,-5.53%,-1.67%
2021-07-13,-2.57%,-3.16%,-4.49%,-5.17%,-4.59%,-4.87%,-6.25%,-2.51%,-5.59%,-2.71%
2021-07-12,3.33%,2.12%,0.79%,2.87%,3.51%,1.32%,1.88%,12.37%,2.16%,1.90%
2021-07-11,-2.81%,-0.82%,-2.30%,-2.58%,-3.77%,-1.50%,-4.93%,-3.78%,-3.43%,-0.96%
2021-07-10,3.79%,2.79%,1.77%,4.66%,2.15%,1.22%,6.20%,19.65%,3.67%,1.27%
2021-07-09,-7.16%,-3.44%,-7.45%,-5.74%,-10.86%,-8.57%,-9.84%,-10.75%,-9.13%,-6.66%
2021-07-08,-0.63%,-0.52%,-1.45%,-8.67%,-1.28%,-0.32%,-2.14%,-4.25%,-0.62%,-1.37%
2021-07-07,3.02%,1.61%,9.42%,-2.14%,9.33%,5.84%,11.18%,5.82%,11.75%,10.81%
2021-07-06,11.17%,-4.53%,-4.60%,10.91%,-1.80%,-5.50%,1.92%,23.56%,-3.38%,-2.81%
2021-07-05,6.60%,1.77%,3.80%,16.86%,4.18%,4.37%,4.19%,17.97%,6.61%,2.19%
2021-07-04,10.73%,2.55%,1.22%,3.13%,5.90%,3.22%,2.15%,5.29%,6.77%,1.71%
2021-07-03,1.40%,0.74%,0.38%,10.68%,-2.47%,2.12%,0.31%,0.94%,2.18%,0.26%
2021-07-02,-7.80%,-4.19%,-6.42%,-1.62%,-6.25%,-7.14%,-8.87%,-6.60%,-7.43%,-5.49%
2021-07-01,5.80%,-2.34%,0.13%,9.28%,1.66%,5.25%,2.94%,2.19%,3.45%,0.80%
2021-06-30,4.05%,4.05%,3.53%,-0.89%,10.95%,3.73%,4.00%,2.41%,5.08%,6.84%
2021-06-29,12.03%,-0.71%,2.08%,21.39%,1.28%,4.94%,6.52%,9.13%,3.73%,3.88%
2021-06-28,8.69%,7.89%,8.80%,14.25%,6.94%,8.46%,4.63%,7.88%,6.13%,5.42%
2021-06-27,-0.13%,1.74%,0.29%,1.29%,2.81%,0.93%,8.12%,2.08%,1.77%,1.51%
2021-06-26,-11.41%,-8.78%,-11.34%,-13.24%,-13.93%,-8.85%,-10.48%,-12.11%,-12.55%,-9.77%
2021-06-25,1.73%,3.03%,3.64%,6.00%,11.67%,1.05%,-0.15%,-0.27%,1.70%,1.17%
2021-06-24,1.03%,3.58%,9.41%,3.15%,7.41%,4.98%,3.81%,5.18%,8.72%,8.30%
2021-06-23,-3.64%,2.54%,-3.73%,5.46%,-3.46%,-0.85%,2.34%,-3.85%,3.33%,-2.81%
