Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,
2021-03-22,0.42%,78.61%,2.13%,0.29%,0.27%,15.05%,0.28%,0.31%,2.56%,0.10%,100.00%
2021-03-21,0.43%,78.66%,2.15%,0.30%,0.28%,15.08%,0.29%,0.32%,2.41%,0.10%,100.00%
2021-03-20,0.43%,78.69%,2.16%,0.30%,0.29%,15.11%,0.29%,0.32%,2.32%,0.09%,100.00%
2021-03-19,0.43%,78.59%,2.16%,0.32%,0.29%,15.09%,0.30%,0.32%,2.40%,0.10%,100.00%
2021-03-18,0.43%,78.89%,2.16%,0.32%,0.28%,15.02%,0.30%,0.30%,2.21%,0.10%,100.00%
2021-03-17,0.44%,78.75%,2.22%,0.31%,0.26%,15.06%,0.30%,0.30%,2.26%,0.09%,100.00%
2021-03-16,0.44%,78.55%,2.07%,0.32%,0.28%,15.41%,0.31%,0.31%,2.21%,0.09%,100.00%
2021-03-15,0.45%,78.45%,2.07%,0.33%,0.25%,15.49%,0.31%,0.31%,2.24%,0.10%,100.00%
2021-03-14,0.44%,78.85%,2.06%,0.31%,0.22%,15.21%,0.31%,0.31%,2.20%,0.09%,100.00%
2021-03-13,0.46%,78.70%,2.05%,0.32%,0.23%,15.26%,0.33%,0.31%,2.23%,0.10%,100.00%
2021-03-12,0.44%,78.93%,2.08%,0.32%,0.22%,15.01%,0.29%,0.32%,2.29%,0.10%,100.00%
2021-03-11,0.47%,78.50%,2.19%,0.34%,0.23%,15.29%,0.28%,0.33%,2.26%,0.10%,100.00%
2021-03-10,0.49%,78.16%,2.22%,0.34%,0.24%,15.49%,0.27%,0.36%,2.32%,0.10%,100.00%
2021-03-09,0.54%,77.03%,2.37%,0.38%,0.26%,16.16%,0.30%,0.37%,2.47%,0.11%,100.00%
2021-03-08,0.54%,76.43%,2.48%,0.37%,0.27%,16.52%,0.28%,0.38%,2.62%,0.11%,100.00%
2021-03-07,0.53%,76.98%,2.30%,0.39%,0.26%,15.97%,0.29%,0.38%,2.78%,0.11%,100.00%
2021-03-06,0.52%,77.13%,2.39%,0.42%,0.25%,16.11%,0.28%,0.40%,2.39%,0.11%,100.00%
2021-03-05,0.51%,78.14%,2.39%,0.41%,0.26%,15.11%,0.29%,0.39%,2.41%,0.10%,100.00%
2021-03-04,0.52%,77.92%,2.39%,0.41%,0.26%,15.24%,0.30%,0.41%,2.46%,0.10%,100.00%
2021-03-03,0.53%,78.28%,2.50%,0.41%,0.28%,15.08%,0.30%,0.41%,2.12%,0.10%,100.00%
2021-03-02,0.55%,78.29%,2.47%,0.43%,0.31%,14.88%,0.31%,0.43%,2.22%,0.11%,100.00%
2021-03-01,0.52%,78.34%,2.34%,0.42%,0.24%,15.20%,0.32%,0.38%,2.14%,0.11%,100.00%
2021-02-28,0.53%,78.50%,2.31%,0.37%,0.24%,15.20%,0.28%,0.38%,2.08%,0.11%,100.00%
2021-02-27,0.49%,78.30%,2.39%,0.36%,0.26%,15.30%,0.30%,0.38%,2.12%,0.11%,100.00%
2021-02-26,0.47%,78.66%,2.29%,0.36%,0.25%,15.12%,0.28%,0.36%,2.10%,0.10%,100.00%
2021-02-25,0.49%,78.63%,2.23%,0.36%,0.26%,15.19%,0.26%,0.36%,2.12%,0.10%,100.00%
2021-02-24,0.49%,78.01%,2.36%,0.37%,0.26%,15.67%,0.24%,0.35%,2.13%,0.10%,100.00%
2021-02-23,0.50%,78.34%,2.22%,0.33%,0.26%,15.53%,0.25%,0.34%,2.12%,0.10%,100.00%
2021-02-22,0.49%,77.88%,2.43%,0.33%,0.29%,15.75%,0.25%,0.35%,2.13%,0.11%,100.00%
2021-02-21,0.50%,77.53%,2.46%,0.33%,0.30%,16.06%,0.25%,0.36%,2.09%,0.11%,100.00%
2021-02-20,0.52%,77.16%,2.52%,0.34%,0.31%,16.27%,0.27%,0.37%,2.13%,0.12%,100.00%
2021-02-19,0.50%,77.38%,2.59%,0.34%,0.28%,16.74%,0.21%,0.36%,1.48%,0.12%,100.00%
2021-02-18,0.56%,76.20%,2.57%,0.36%,0.32%,17.55%,0.24%,0.40%,1.67%,0.13%,100.00%
2021-02-17,0.57%,76.96%,2.55%,0.37%,0.32%,16.74%,0.25%,0.42%,1.70%,0.13%,100.00%
2021-02-16,0.58%,76.46%,2.66%,0.38%,0.32%,17.06%,0.27%,0.44%,1.70%,0.13%,100.00%
2021-02-15,0.62%,75.93%,2.78%,0.39%,0.33%,17.37%,0.29%,0.45%,1.71%,0.13%,100.00%
2021-02-14,0.63%,75.89%,2.79%,0.40%,0.36%,17.33%,0.25%,0.46%,1.76%,0.13%,100.00%
2021-02-13,0.68%,75.00%,2.90%,0.44%,0.40%,17.79%,0.27%,0.49%,1.87%,0.15%,100.00%
2021-02-12,0.72%,75.00%,2.61%,0.45%,0.41%,17.94%,0.28%,0.50%,1.94%,0.15%,100.00%
2021-02-11,0.71%,75.91%,2.36%,0.43%,0.43%,17.42%,0.28%,0.49%,1.84%,0.14%,100.00%
2021-02-10,0.76%,75.30%,2.41%,0.43%,0.40%,17.97%,0.26%,0.49%,1.86%,0.12%,100.00%
2021-02-09,0.69%,75.79%,2.42%,0.42%,0.40%,17.74%,0.25%,0.47%,1.71%,0.11%,100.00%
2021-02-08,0.69%,76.11%,2.25%,0.40%,0.39%,17.70%,0.24%,0.41%,1.70%,0.11%,100.00%
2021-02-07,0.78%,74.15%,2.53%,0.47%,0.44%,18.90%,0.26%,0.44%,1.90%,0.12%,100.00%
2021-02-06,0.76%,73.63%,2.52%,0.47%,0.45%,19.39%,0.27%,0.46%,1.94%,0.12%,100.00%
2021-02-05,0.82%,72.25%,2.71%,0.55%,0.48%,20.10%,0.30%,0.52%,2.16%,0.12%,100.00%
2021-02-04,0.80%,73.13%,2.62%,0.49%,0.46%,19.49%,0.32%,0.45%,2.14%,0.10%,100.00%
2021-02-03,0.64%,73.21%,2.62%,0.40%,0.39%,19.89%,0.29%,0.39%,2.07%,0.11%,100.00%
2021-02-02,0.54%,73.68%,2.65%,0.40%,0.40%,19.41%,0.27%,0.41%,2.13%,0.11%,100.00%
2021-02-01,0.56%,74.01%,2.72%,0.43%,0.43%,18.58%,0.29%,0.45%,2.42%,0.11%,100.00%
2021-01-31,0.58%,74.64%,2.73%,0.42%,0.43%,18.24%,0.24%,0.45%,2.15%,0.11%,100.00%
2021-01-30,0.58%,74.44%,2.75%,0.39%,0.42%,18.39%,0.23%,0.45%,2.25%,0.11%,100.00%
2021-01-29,0.54%,74.89%,2.69%,0.34%,0.34%,18.65%,0.20%,0.43%,1.82%,0.11%,100.00%
2021-01-28,0.58%,75.02%,2.80%,0.31%,0.36%,18.47%,0.19%,0.45%,1.72%,0.11%,100.00%
2021-01-27,0.60%,74.50%,2.77%,0.29%,0.34%,18.80%,0.18%,0.44%,1.97%,0.11%,100.00%
2021-01-26,0.54%,74.43%,2.84%,0.29%,0.37%,19.09%,0.19%,0.44%,1.69%,0.11%,100.00%
2021-01-25,0.50%,74.97%,2.94%,0.27%,0.35%,18.84%,0.18%,0.42%,1.42%,0.11%,100.00%
2021-01-24,0.53%,73.92%,3.03%,0.31%,0.40%,19.56%,0.19%,0.46%,1.48%,0.12%,100.00%
2021-01-23,0.43%,75.93%,3.15%,0.26%,0.39%,17.96%,0.17%,0.40%,1.19%,0.12%,100.00%
2021-01-22,0.38%,76.85%,2.72%,0.25%,0.35%,17.69%,0.16%,0.39%,1.09%,0.12%,100.00%
2021-01-21,0.35%,77.54%,2.50%,0.24%,0.32%,17.40%,0.14%,0.36%,1.03%,0.11%,100.00%
2021-01-20,0.36%,76.73%,2.53%,0.25%,0.27%,18.16%,0.15%,0.39%,1.04%,0.12%,100.00%
2021-01-19,0.34%,77.07%,2.39%,0.24%,0.22%,18.11%,0.14%,0.38%,1.00%,0.12%,100.00%
2021-01-18,0.36%,78.40%,2.52%,0.26%,0.25%,16.48%,0.16%,0.38%,1.05%,0.13%,100.00%
2021-01-17,0.35%,78.17%,2.72%,0.25%,0.28%,16.54%,0.15%,0.40%,1.02%,0.12%,100.00%
2021-01-16,0.34%,78.74%,2.39%,0.24%,0.18%,16.47%,0.15%,0.39%,0.98%,0.12%,100.00%
2021-01-15,0.31%,79.78%,2.41%,0.24%,0.19%,15.59%,0.14%,0.38%,0.86%,0.11%,100.00%
2021-01-14,0.26%,80.71%,1.97%,0.24%,0.12%,15.40%,0.11%,0.35%,0.75%,0.11%,100.00%
2021-01-13,0.27%,81.08%,1.87%,0.25%,0.11%,15.06%,0.11%,0.39%,0.74%,0.12%,100.00%
2021-01-12,0.26%,80.96%,1.79%,0.24%,0.11%,15.32%,0.10%,0.40%,0.71%,0.11%,100.00%
2021-01-11,0.23%,81.18%,1.79%,0.21%,0.11%,15.31%,0.09%,0.34%,0.64%,0.11%,100.00%
2021-01-10,0.23%,80.13%,1.83%,0.22%,0.12%,16.25%,0.09%,0.34%,0.68%,0.12%,100.00%
2021-01-09,0.20%,80.61%,1.91%,0.20%,0.12%,15.78%,0.09%,0.31%,0.68%,0.12%,100.00%
2021-01-08,0.19%,81.75%,1.65%,0.18%,0.11%,15.02%,0.08%,0.27%,0.64%,0.11%,100.00%
2021-01-07,0.20%,81.08%,1.77%,0.19%,0.11%,15.49%,0.08%,0.28%,0.70%,0.11%,100.00%
2021-01-06,0.22%,80.12%,2.01%,0.21%,0.12%,16.10%,0.08%,0.30%,0.75%,0.09%,100.00%
2021-01-05,0.24%,80.29%,1.85%,0.21%,0.12%,15.96%,0.09%,0.34%,0.81%,0.09%,100.00%
2021-01-04,0.24%,80.38%,1.84%,0.20%,0.13%,15.99%,0.09%,0.32%,0.72%,0.09%,100.00%
2021-01-03,0.20%,81.59%,1.82%,0.20%,0.13%,14.90%,0.08%,0.27%,0.73%,0.09%,100.00%
2021-01-02,0.19%,84.16%,1.72%,0.19%,0.12%,12.51%,0.08%,0.25%,0.69%,0.09%,100.00%
2021-01-01,0.22%,83.64%,1.82%,0.22%,0.13%,12.77%,0.09%,0.28%,0.73%,0.10%,100.00%
2020-12-31,0.22%,83.42%,1.74%,0.23%,0.14%,13.04%,0.08%,0.24%,0.80%,0.11%,100.00%
2020-12-30,0.20%,83.30%,1.75%,0.24%,0.13%,13.31%,0.07%,0.24%,0.64%,0.10%,100.00%
2020-12-29,0.20%,82.83%,1.91%,0.23%,0.11%,13.66%,0.07%,0.27%,0.60%,0.11%,100.00%
2020-12-28,0.21%,82.59%,2.07%,0.23%,0.11%,13.69%,0.08%,0.28%,0.61%,0.11%,100.00%
2020-12-27,0.21%,83.01%,2.08%,0.22%,0.11%,13.27%,0.08%,0.29%,0.61%,0.12%,100.00%
2020-12-26,0.21%,84.13%,1.87%,0.22%,0.11%,12.39%,0.07%,0.29%,0.58%,0.11%,100.00%
2020-12-25,0.23%,83.21%,2.10%,0.25%,0.12%,12.95%,0.08%,0.28%,0.64%,0.13%,100.00%
2020-12-24,0.24%,82.90%,2.18%,0.26%,0.12%,13.12%,0.08%,0.30%,0.66%,0.13%,100.00%
2020-12-23,0.23%,83.25%,2.12%,0.25%,0.11%,12.89%,0.07%,0.30%,0.64%,0.12%,100.00%
2020-12-22,0.25%,82.26%,2.38%,0.27%,0.15%,13.47%,0.09%,0.29%,0.70%,0.14%,100.00%
2020-12-21,0.25%,82.28%,2.40%,0.28%,0.15%,13.48%,0.08%,0.26%,0.68%,0.14%,100.00%
2020-12-20,0.26%,82.02%,2.45%,0.29%,0.16%,13.65%,0.09%,0.24%,0.71%,0.15%,100.00%
2020-12-19,0.26%,81.72%,2.49%,0.29%,0.17%,13.86%,0.09%,0.24%,0.73%,0.15%,100.00%
2020-12-18,0.27%,81.37%,2.56%,0.30%,0.17%,14.11%,0.09%,0.25%,0.71%,0.16%,100.00%
2020-12-17,0.26%,81.39%,2.59%,0.34%,0.17%,14.08%,0.09%,0.22%,0.71%,0.15%,100.00%
2020-12-16,0.28%,80.58%,2.73%,0.31%,0.18%,14.71%,0.10%,0.23%,0.72%,0.16%,100.00%
2020-12-15,0.31%,80.18%,2.82%,0.33%,0.19%,14.90%,0.10%,0.26%,0.74%,0.17%,100.00%
2020-12-14,0.31%,80.06%,2.87%,0.34%,0.20%,14.92%,0.10%,0.25%,0.78%,0.17%,100.00%
2020-12-13,0.30%,79.93%,2.90%,0.33%,0.19%,15.10%,0.09%,0.22%,0.75%,0.18%,100.00%
2020-12-12,0.29%,80.31%,2.81%,0.33%,0.19%,14.88%,0.08%,0.22%,0.72%,0.18%,100.00%
2020-12-11,0.29%,80.34%,2.80%,0.34%,0.19%,14.87%,0.08%,0.22%,0.71%,0.17%,100.00%
2020-12-10,0.29%,80.06%,2.82%,0.35%,0.20%,15.03%,0.08%,0.23%,0.77%,0.17%,100.00%
2020-12-09,0.31%,79.77%,2.93%,0.39%,0.20%,15.11%,0.09%,0.24%,0.78%,0.18%,100.00%
2020-12-08,0.30%,80.16%,2.86%,0.36%,0.20%,14.84%,0.08%,0.23%,0.78%,0.18%,100.00%
2020-12-07,0.33%,79.75%,2.93%,0.33%,0.22%,15.07%,0.09%,0.24%,0.84%,0.19%,100.00%
2020-12-06,0.31%,79.67%,2.99%,0.30%,0.22%,15.19%,0.08%,0.24%,0.81%,0.19%,100.00%
2020-12-05,0.33%,79.63%,2.95%,0.32%,0.23%,15.18%,0.08%,0.25%,0.82%,0.20%,100.00%
2020-12-04,0.30%,79.97%,2.94%,0.29%,0.22%,14.96%,0.07%,0.24%,0.81%,0.18%,100.00%
2020-12-03,0.32%,79.30%,3.07%,0.29%,0.25%,15.41%,0.07%,0.24%,0.85%,0.20%,100.00%
2020-12-02,0.31%,79.47%,3.13%,0.25%,0.25%,15.17%,0.08%,0.25%,0.89%,0.20%,100.00%
2020-12-01,0.27%,79.68%,3.05%,0.24%,0.21%,15.25%,0.07%,0.23%,0.81%,0.18%,100.00%
2020-11-30,0.27%,79.68%,3.12%,0.24%,0.20%,15.22%,0.05%,0.22%,0.82%,0.17%,100.00%
2020-11-29,0.26%,79.47%,3.13%,0.26%,0.21%,15.38%,0.05%,0.23%,0.84%,0.17%,100.00%
2020-11-28,0.25%,79.90%,3.19%,0.26%,0.21%,14.91%,0.05%,0.22%,0.84%,0.17%,100.00%
2020-11-27,0.25%,80.01%,3.16%,0.26%,0.22%,14.81%,0.06%,0.22%,0.84%,0.18%,100.00%
2020-11-26,0.26%,79.97%,3.17%,0.27%,0.20%,14.83%,0.06%,0.23%,0.85%,0.17%,100.00%
2020-11-25,0.23%,79.92%,3.27%,0.28%,0.21%,14.83%,0.04%,0.23%,0.84%,0.15%,100.00%
2020-11-24,0.24%,79.14%,3.47%,0.28%,0.21%,15.29%,0.05%,0.24%,0.91%,0.16%,100.00%
2020-11-23,0.27%,78.41%,3.51%,0.29%,0.23%,15.86%,0.05%,0.26%,0.95%,0.17%,100.00%
2020-11-22,0.26%,79.60%,3.38%,0.27%,0.24%,14.90%,0.06%,0.25%,0.86%,0.17%,100.00%
2020-11-21,0.26%,79.97%,3.54%,0.29%,0.27%,14.32%,0.06%,0.25%,0.88%,0.17%,100.00%
2020-11-20,0.28%,80.96%,3.30%,0.27%,0.28%,13.53%,0.06%,0.25%,0.90%,0.19%,100.00%
2020-11-19,0.30%,81.24%,3.34%,0.28%,0.27%,13.14%,0.06%,0.25%,0.91%,0.20%,100.00%
2020-11-18,0.30%,81.13%,3.32%,0.28%,0.26%,13.37%,0.04%,0.25%,0.85%,0.19%,100.00%
2020-11-17,0.31%,80.89%,3.27%,0.30%,0.30%,13.51%,0.05%,0.26%,0.94%,0.18%,100.00%
2020-11-16,0.30%,80.79%,3.28%,0.31%,0.29%,13.65%,0.05%,0.24%,0.94%,0.15%,100.00%
2020-11-15,0.28%,80.49%,3.30%,0.33%,0.29%,13.84%,0.05%,0.23%,1.05%,0.14%,100.00%
2020-11-14,0.29%,80.20%,3.38%,0.33%,0.26%,14.09%,0.04%,0.24%,1.03%,0.14%,100.00%
2020-11-13,0.27%,80.05%,3.41%,0.29%,0.25%,14.29%,0.04%,0.23%,1.02%,0.14%,100.00%
2020-11-12,0.22%,80.78%,3.32%,0.28%,0.21%,14.04%,0.03%,0.21%,0.79%,0.12%,100.00%
2020-11-11,0.24%,80.08%,3.53%,0.28%,0.21%,14.45%,0.03%,0.23%,0.81%,0.14%,100.00%
2020-11-10,0.30%,79.81%,3.67%,0.29%,0.22%,14.38%,0.03%,0.28%,0.86%,0.15%,100.00%
2020-11-09,0.25%,80.35%,3.54%,0.27%,0.18%,14.26%,0.03%,0.25%,0.76%,0.13%,100.00%
2020-11-08,0.24%,80.14%,3.56%,0.27%,0.18%,14.40%,0.03%,0.26%,0.80%,0.13%,100.00%
2020-11-07,0.21%,80.35%,3.46%,0.27%,0.17%,14.43%,0.03%,0.23%,0.73%,0.12%,100.00%
2020-11-06,0.17%,80.56%,3.40%,0.27%,0.17%,14.39%,0.03%,0.20%,0.71%,0.10%,100.00%
2020-11-05,0.14%,82.02%,3.13%,0.26%,0.14%,13.40%,0.02%,0.19%,0.63%,0.07%,100.00%
2020-11-04,0.14%,81.21%,3.24%,0.27%,0.14%,14.12%,0.02%,0.18%,0.60%,0.08%,100.00%
2020-11-03,0.14%,81.40%,3.27%,0.27%,0.15%,13.81%,0.02%,0.17%,0.67%,0.09%,100.00%
2020-11-02,0.15%,80.93%,3.48%,0.29%,0.16%,13.97%,0.03%,0.18%,0.73%,0.10%,100.00%
2020-11-01,0.16%,80.49%,3.65%,0.30%,0.17%,14.16%,0.03%,0.19%,0.75%,0.10%,100.00%
2020-10-31,0.15%,80.94%,3.55%,0.29%,0.18%,13.85%,0.03%,0.20%,0.72%,0.10%,100.00%
2020-10-30,0.16%,80.78%,3.57%,0.30%,0.17%,13.92%,0.03%,0.21%,0.77%,0.11%,100.00%
2020-10-29,0.15%,80.43%,3.64%,0.31%,0.19%,14.11%,0.03%,0.22%,0.82%,0.10%,100.00%
2020-10-28,0.17%,79.98%,3.72%,0.35%,0.22%,14.30%,0.03%,0.24%,0.87%,0.12%,100.00%
2020-10-27,0.18%,79.78%,3.77%,0.34%,0.26%,14.40%,0.03%,0.23%,0.89%,0.13%,100.00%
2020-10-26,0.19%,79.51%,3.86%,0.33%,0.18%,14.63%,0.03%,0.24%,0.89%,0.13%,100.00%
2020-10-25,0.20%,78.98%,3.98%,0.33%,0.15%,15.04%,0.03%,0.25%,0.91%,0.14%,100.00%
2020-10-24,0.20%,78.68%,4.12%,0.34%,0.16%,15.11%,0.03%,0.25%,0.95%,0.14%,100.00%
2020-10-23,0.22%,78.68%,3.99%,0.34%,0.17%,15.18%,0.03%,0.26%,0.99%,0.15%,100.00%
2020-10-22,0.20%,78.65%,3.90%,0.33%,0.18%,15.31%,0.03%,0.26%,0.99%,0.13%,100.00%
