Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,
2021-08-31,0.46%,64.93%,1.95%,0.32%,0.26%,29.41%,0.21%,0.20%,2.16%,0.10%,100.00%
2021-08-30,0.43%,66.24%,1.88%,0.32%,0.25%,28.37%,0.20%,0.19%,2.01%,0.10%,100.00%
2021-08-29,0.43%,67.09%,1.88%,0.31%,0.24%,27.60%,0.20%,0.20%,1.96%,0.10%,100.00%
2021-08-28,0.43%,66.99%,1.87%,0.30%,0.24%,27.71%,0.20%,0.20%,1.95%,0.10%,100.00%
2021-08-27,0.43%,66.86%,1.88%,0.31%,0.25%,27.78%,0.21%,0.21%,1.98%,0.10%,100.00%
2021-08-26,0.43%,67.05%,1.86%,0.31%,0.25%,27.63%,0.21%,0.20%,1.96%,0.10%,100.00%
2021-08-25,0.45%,67.03%,1.93%,0.32%,0.25%,27.53%,0.21%,0.21%,1.97%,0.10%,100.00%
2021-08-24,0.45%,66.86%,1.93%,0.32%,0.25%,27.68%,0.21%,0.21%,1.99%,0.10%,100.00%
2021-08-23,0.47%,66.50%,2.04%,0.33%,0.27%,27.77%,0.23%,0.23%,2.06%,0.10%,100.00%
2021-08-22,0.46%,66.88%,2.02%,0.33%,0.28%,27.41%,0.23%,0.23%,2.05%,0.10%,100.00%
2021-08-21,0.47%,66.84%,2.03%,0.34%,0.25%,27.46%,0.23%,0.22%,2.05%,0.10%,100.00%
2021-08-20,0.47%,66.60%,2.06%,0.34%,0.26%,27.64%,0.24%,0.21%,2.07%,0.10%,100.00%
2021-08-19,0.49%,66.16%,2.03%,0.34%,0.25%,28.05%,0.24%,0.22%,2.10%,0.11%,100.00%
2021-08-18,0.48%,66.31%,2.02%,0.35%,0.24%,27.96%,0.23%,0.21%,2.10%,0.11%,100.00%
2021-08-17,0.49%,66.30%,2.07%,0.35%,0.24%,27.91%,0.23%,0.21%,2.09%,0.11%,100.00%
2021-08-16,0.51%,65.81%,2.13%,0.36%,0.25%,28.16%,0.22%,0.22%,2.22%,0.11%,100.00%
2021-08-15,0.49%,65.40%,2.06%,0.36%,0.26%,28.66%,0.22%,0.22%,2.24%,0.11%,100.00%
2021-08-14,0.49%,65.70%,2.02%,0.35%,0.26%,28.40%,0.21%,0.22%,2.24%,0.11%,100.00%
2021-08-13,0.50%,65.66%,2.02%,0.35%,0.27%,28.44%,0.21%,0.21%,2.23%,0.11%,100.00%
2021-08-12,0.49%,66.05%,1.96%,0.36%,0.25%,28.16%,0.22%,0.19%,2.21%,0.11%,100.00%
2021-08-11,0.49%,65.77%,1.99%,0.36%,0.25%,28.43%,0.20%,0.19%,2.22%,0.11%,100.00%
2021-08-10,0.47%,65.95%,1.89%,0.36%,0.25%,28.38%,0.18%,0.18%,2.23%,0.10%,100.00%
2021-08-09,0.46%,66.30%,1.85%,0.36%,0.22%,28.20%,0.17%,0.18%,2.17%,0.09%,100.00%
2021-08-08,0.47%,66.12%,1.86%,0.38%,0.22%,28.36%,0.17%,0.18%,2.15%,0.10%,100.00%
2021-08-07,0.48%,65.46%,1.93%,0.40%,0.23%,28.82%,0.19%,0.19%,2.21%,0.10%,100.00%
2021-08-06,0.49%,66.36%,1.97%,0.39%,0.25%,27.90%,0.19%,0.20%,2.17%,0.10%,100.00%
2021-08-05,0.51%,65.81%,2.06%,0.41%,0.24%,28.29%,0.19%,0.21%,2.17%,0.10%,100.00%
2021-08-04,0.48%,65.99%,2.14%,0.41%,0.22%,28.20%,0.18%,0.20%,2.08%,0.11%,100.00%
2021-08-03,0.46%,66.89%,2.23%,0.37%,0.23%,27.35%,0.17%,0.20%,1.99%,0.11%,100.00%
2021-08-02,0.47%,66.63%,2.13%,0.37%,0.23%,27.66%,0.17%,0.20%,2.03%,0.11%,100.00%
2021-08-01,0.46%,67.51%,2.00%,0.37%,0.23%,26.97%,0.18%,0.20%,1.98%,0.11%,100.00%
2021-07-31,0.46%,68.55%,2.00%,0.36%,0.23%,25.99%,0.18%,0.21%,1.91%,0.11%,100.00%
2021-07-30,0.45%,69.34%,1.97%,0.36%,0.23%,25.33%,0.17%,0.20%,1.85%,0.10%,100.00%
2021-07-29,0.46%,69.23%,1.78%,0.37%,0.23%,25.64%,0.17%,0.21%,1.80%,0.10%,100.00%
2021-07-28,0.44%,69.92%,1.77%,0.36%,0.22%,25.04%,0.17%,0.20%,1.77%,0.10%,100.00%
2021-07-27,0.45%,69.55%,1.83%,0.37%,0.23%,25.31%,0.18%,0.20%,1.78%,0.10%,100.00%
2021-07-26,0.48%,69.04%,1.78%,0.39%,0.24%,25.73%,0.19%,0.21%,1.84%,0.11%,100.00%
2021-07-25,0.48%,68.28%,1.72%,0.40%,0.24%,26.48%,0.20%,0.20%,1.88%,0.11%,100.00%
2021-07-24,0.49%,67.73%,1.76%,0.43%,0.25%,26.90%,0.19%,0.21%,1.93%,0.11%,100.00%
2021-07-23,0.50%,67.80%,1.78%,0.45%,0.27%,26.67%,0.21%,0.22%,2.00%,0.12%,100.00%
2021-07-22,0.50%,67.99%,1.80%,0.46%,0.27%,26.47%,0.21%,0.22%,1.97%,0.12%,100.00%
2021-07-21,0.47%,68.41%,1.73%,0.42%,0.25%,26.32%,0.18%,0.22%,1.89%,0.12%,100.00%
2021-07-20,0.44%,69.08%,1.70%,0.43%,0.25%,25.79%,0.18%,0.22%,1.80%,0.12%,100.00%
2021-07-19,0.46%,69.28%,1.75%,0.41%,0.25%,25.44%,0.18%,0.23%,1.89%,0.12%,100.00%
2021-07-18,0.47%,68.97%,1.80%,0.44%,0.25%,25.62%,0.19%,0.24%,1.90%,0.12%,100.00%
2021-07-17,0.47%,68.85%,1.79%,0.44%,0.26%,25.76%,0.20%,0.24%,1.87%,0.12%,100.00%
2021-07-16,0.48%,68.98%,1.78%,0.43%,0.26%,25.63%,0.17%,0.24%,1.91%,0.12%,100.00%
