Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,DAI
2021-09-26,275.0784182,42687.59352,24.50507658,331.0568683,2.308392684,2929.612364,9.510403129,10.17903585,19.48176838,30244.99255,1.00133038
2021-09-25,280.8753852,42846.53675,23.28381793,341.3828563,2.428931349,2931.904799,9.680971623,10.51758751,19.66748163,29292.91448,1.000149896
2021-09-24,309.0144203,44887.89637,25.44461196,374.2498069,2.788789477,3156.010288,10.62531108,11.75147251,21.50901291,31290.13433,1.003360046
2021-09-23,301.8719759,43567.97225,24.462779,347.8135984,2.451003894,3067.534363,10.50569435,10.93310439,21.62228335,30527.91679,1.00066906
2021-09-22,271.4923596,40721.52881,21.43166972,312.5015836,2.194104238,2766.234916,9.223490176,9.51871522,19.04500574,27396.78951,0.9981403603
2021-09-21,291.2219922,42842.03677,23.50228419,336.0945277,2.401979501,2996.324439,10.23484171,10.59251434,20.84690588,29482.89389,1.002587644
2021-09-20,339.9218171,47246.92424,27.36894577,392.659423,3.038593934,3328.029358,12.01295611,12.78412279,23.87900096,32990.56674,1.00145163
2021-09-19,354.3403103,47975.57289,28.17746022,399.1399775,2.881037077,3420.364631,12.57932294,12.48930107,24.21933269,33723.22755,1.004958091
2021-09-18,354.3908701,47282.77495,27.71039846,400.1075378,2.803850066,3397.139662,12.4892197,12.77913379,24.30246363,33245.19749,1.000195331
2021-09-17,384.2845799,47772.76007,29.82719172,422.2818908,3.102916886,3571.097508,14.94268132,14.64120242,26.27217612,34780.96127,0.9998668796
2021-09-16,414.5317489,48172.47628,30.74318199,443.5286813,3.01547147,3615.152933,15.15766792,14.97336274,27.46687743,36594.02423,1.001542483
2021-09-15,384.5114842,47098.42098,30.76898727,446.8052733,2.796787611,3409.73178,13.15888218,13.78861998,25.66078494,35654.06823,1.000976584
2021-09-14,330.6445698,44948.11188,26.93266521,384.8487945,2.355583295,3285.094114,11.08702448,12.63067402,22.668148,32752.3398,1.00021934
2021-09-13,333.1641596,46043.93423,29.37009481,403.3050732,2.423708842,3409.739624,11.85524018,10.95515693,23.70416942,33304.91649,1.000680461
2021-09-12,328.5757612,45193.97061,26.99310992,397.2186588,2.268504214,3267.273621,10.57638005,10.81310781,22.7287164,32962.52308,1.002434125
2021-09-11,312.0665262,44850.64914,26.3437026,391.7735923,2.140987926,3208.591414,10.11969424,10.53949261,22.29392065,32784.14419,0.9997261353
2021-09-10,330.0897291,46393.44024,27.98385927,411.7468794,2.376746862,3428.043258,10.99204286,11.3005608,23.30669349,34331.95674,0.9997792357
2021-09-09,333.7015782,46297.16942,27.24875063,411.8316848,2.00330807,3515.046019,11.33716634,11.03967279,23.29517126,34845.2474,1.005060143
2021-09-08,346.1420173,46805.80778,28.19754574,412.0604388,1.984741052,3433.144226,10.90560438,10.71829007,24.23793097,34535.87934,1.001419365
2021-09-07,408.885112,52663.58558,34.80752205,509.4456761,2.490504623,3931.603078,13.63330927,13.57061151,28.85162241,42302.49983,0.9993321208
2021-09-06,417.1799232,51780.91187,33.543644,510.229913,2.479101822,3953.705626,14.28447989,12.93789225,29.37473775,42970.92088,1.000064596
2021-09-05,398.0216705,49941.30923,29.90385743,471.6024568,2.271405178,3888.863962,13.11066608,12.36326751,28.58447252,41521.09261,0.9997818845
2021-09-04,395.032242,50064.94866,30.7860106,466.7772792,2.207923559,3940.095101,13.06285647,12.45042697,28.67085606,40445.29492,1.000758421
2021-09-03,399.6773343,49718.56069,29.97776146,462.486299,2.205493213,3788.540571,13.14027138,12.51173767,29.95903663,38695.19743,1.000046959
2021-09-02,413.9224512,48841.19611,29.75338174,479.4396902,2.315109781,3794.71959,13.89007679,12.50755198,31.3549299,40020.52524,1.013683516
2021-09-01,391.5806856,47006.33517,26.72435759,441.1301663,2.232160168,3418.216735,12.04601697,11.38522213,29.3647247,38317.16295,0.9970857373
2021-08-31,357.718971,47029.18185,25.03735769,419.8682262,2.094348416,3272.732085,11.70513594,11.10956724,26.84027931,36924.99485,0.9993762137
2021-08-30,364.2930806,48835.14323,25.80118212,418.6190765,2.105000528,3226.047891,11.61196311,11.65021615,26.8030903,37502.63603,0.9972782828
2021-08-29,367.0214847,48901.58913,25.73196362,413.7465853,2.092219984,3244.529179,11.76972043,11.98864448,26.8352949,38085.87876,1.001733043
2021-08-28,372.7520363,49071.13367,26.03038224,421.2894995,2.17892682,3272.149092,12.21592088,12.23222375,27.39132485,37801.76032,1.001177414
2021-08-27,350.8824659,46899.49544,24.39849531,405.2746971,2.050825963,3127.203589,11.61525862,11.42678257,25.52554417,36153.57104,0.9955872105
2021-08-26,384.1853259,48971.08935,26.53733344,435.4929256,2.196604359,3227.527506,12.24817542,12.40553265,27.06403378,38295.11292,1.000247015
2021-08-25,378.1766825,47727.11408,25.75676029,423.0684763,2.097737817,3172.0039,12.32498132,12.22461431,26.65866271,37102.90148,1.000416889
2021-08-24,409.3838764,49517.3756,28.63536667,465.2247526,2.36279889,3334.667516,13.7854101,13.29799003,28.79655514,39981.36146,0.9975365046
2021-08-23,401.2945256,49311.59995,28.01906079,460.3239226,2.447015611,3241.468327,13.76267777,13.54600282,28.42406299,39513.029,1.003832034
2021-08-22,400.100754,48886.85918,27.87647226,462.6936315,2.222288224,3238.975727,13.68416561,13.08964831,28.25237066,38986.39505,1.000797669
2021-08-21,409.3054199,49326.87446,28.69628136,480.1430283,2.270103055,3286.405767,14.664722,12.58629719,28.86332203,39799.52877,1.001433022
2021-08-20,405.2401205,46745.81563,27.09273655,456.0333815,2.150568288,3184.61756,13.99914932,12.39285279,27.96933712,39123.41031,1.001479253
2021-08-19,380.4344523,44801.34211,25.45675849,436.1414363,1.915198391,3027.666986,12.5784301,11.34194534,26.3613749,37193.78152,1.000541618
2021-08-18,395.399316,44674.72157,26.14398812,447.4872039,1.920872035,3011.545337,12.58336812,11.2356781,26.40769784,37868.78,1.000612
2021-08-17,414.0330506,46097.06784,27.99880724,470.2984281,2.125139146,3181.639721,12.60187685,12.15845183,29.35050268,39346.00605,0.999127568
2021-08-16,410.5754209,47056.23929,27.9091204,489.3254864,2.219119628,3310.590647,12.62126333,12.87360249,30.26119062,39869.30954,1.00036296
2021-08-15,414.5271726,47102.72863,27.14513828,477.2259714,2.261383786,3264.762474,12.18333383,12.98837535,30.10744191,39547.07493,1.001806307
2021-08-14,427.8454145,47824.19844,27.75537452,484.1806718,2.362334967,3323.90428,12.56823941,12.10188285,30.56258109,40205.99101,1.001308595
2021-08-13,392.1565886,44267.32571,24.88195899,453.460111,2.03153656,3035.643746,12.10967858,10.39365428,27.89766791,36943.83251,0.997875817
